City,State,Median Income,Percent with Bachelors or Higher,Population,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Tehama city,California,24700,11.3456464379947,373,,,,
Casa de Oro-Mount Helix CDP,California,45223,44.896542146924,,,,,
San Diego city,California,41112,45.9373225480324,1423851,,,,
Bradley CDP,California,23144,4.25531914893617,,,,,
King City city,California,17142,4.11855273287143,14077,,,,
Salinas city,California,21504,13.3499722079931,155465,,,,
Fairfield city,California,35271,28.251683612835,117133,,,,
Alpine Village CDP,California,33602,22.5352112676056,,,,,
False Pass city,Alaska,40780,4.8780487804878,43,,,,
Atqasuk city,Alaska,18826,2.8169014084507,248,,,,
Dry Creek CDP,Alaska,15748,19.402985074626798,,,,,
Unalaska city,Alaska,39292,17.7433498976907,4432,,,,
Hollis CDP,Alaska,21072,58.4,,,,,
Hyder CDP,Alaska,,100,,,,,
Kasaan city,Alaska,29811,21.5686274509803,48,,,,
Unalakleet city,Alaska,30556,29.6052631578947,695,,,,
White Mountain city,Alaska,21537,12.5,201,,,,
Whitestone Logging Camp CDP,Alaska,-666666666,,,,,,
Pitkas Point CDP,Alaska,12208,1.25,,,,,
Sand Point city,Alaska,34675,10.9327983951855,1064,,,,
Bear Creek CDP,Alaska,29881,20.5256570713391,,,,,
Clam Gulch CDP,Alaska,30030,14.2045454545454,,,,,
Dot Lake CDP,Alaska,-666666666,,,,,,
Eagle Village CDP,Alaska,28438,6.06060606060606,,,,,
St. George city,Alaska,27799,12.2807017543859,101,,,,
Saxman city,Alaska,27408,9.57854406130268,385,,,,
Kupreanof city,Alaska,,100,26,,,,
Nondalton city,Alaska,23087,15.0684931506849,133,,,,
Port Alsworth CDP,Alaska,23979,63.076923076923,,,,,
Yakutat CDP,Alaska,32198,22.6244343891402,,,,,
Thorne Bay city,Alaska,27335,24.2494226327944,467,,,,
Skwentna CDP,Alaska,76407,0,,,,,
Talkeetna CDP,Alaska,26961,24.2078580481622,,,,,
